"","badbad"
"1435","headache serious"
"1436","sore knee"
"1437","stupidly early"
"1438","worried slightly"
"1439","impossible al"
"1440","agony absolute"
"1441","jealous soo"
"1442","infection Sinus"
"1443","vicious circle"
"1444","allergy pill"
"1445","rough "
"1446","stupid brokeback"
"1447","fucking hell"
"1448","fuk fuk"
"1449","hate us"
"1450","tumble dryer"
"1451","badly wants"
"1452","poor wo"
"1453","sorry i"
"1454","crap aw"
"1455","horrible horrible"
"1456","mistake HUGE"
"1457","sorry Feeling"
"1458","stupid job"
"1459","hurts stu"
"1460","fail "
"1461","broken foot"
"1462","itchy throat"
"1463","shit together"
"1464","horrible horrible"
"1465","sucks revision"
"1466","miserably fail"
"1467","miss high"
"1468","crap total"
"1469","failure renal"
"1470","aches "
"1471","scar battle"
"1472","fuk fuk"
"1473","worst pain"
"1474","sick sick"
"1475","pain worst"
"1476","break Easter"
"1477","hate shots"
"1478","vomit projectile"
"1479","horrific "
"1480","terrible night"
"1481","nightmare terrible"
"1482","suck Headaches"
"1483","lost Giants"
"1484","sorry Feel"
"1485","noises "
"1486","awful headache"
"1487","sorry everyone"
"1488","hate bugs"
"1489","hate absolutely"
"1490","sucked It"
"1491","lost both"
"1492","hard so"
"1493","headache Got"
"1494","headache awful"
"1495","died goldfish"
"1496","cancer jab"
"1497","warning flood"
"1498","dull girl"
"1499","nasty weather"
"1500","poor quality"
"1501","tired effing"
"1502","loud noise"
"1503","noise loud"
"1504","ache Tooth"
"1505","poor Aw"
"1506","tank tops"
"1507","untimely death"
"1508","hate traffic"
"1509","sorry boo"
"1510","death unti"
"1511","sad "
"1512","lose wanna"
"1513","shit bull"
"1514","bad influence"
"1515","confused soo"
"1516","hurt abs"
"1517","cry i"
"1518","fuck Oh"
"1519","error 404"
"1520","bastard lucky"
"1521","exhausted absolutely"
"1522","mistake BIG"
"1523","unfortunately No"
"1524","unpleasant surprise"
"1525","hate fuckin"
"1526","hell outta"
"1527","exhausted "
"1528","lame ass"
"1529","disappointed severely"
"1530","horrible drea"
"1531","awful news"
"1532","severe case"
"1533","kill buzz"
"1534","bored Being"
"1535","problems causing"
"1536","sick Feel"
"1537","sucks Being"
"1538","sad very"
"1539","sick horribly"
"1540","passive agressive"
"1541","infections Sinus"
"1542","hate i"
"1543","lost 5"
"1544","miss I"
"1545","severe pain"
"1546","bruise "
"1547","pain severe"
"1548","hate tuesdays"
"1549","pig died"
"1550","chatter chitter"
"1551","died pig"
"1552","trash white"
"1553","fell ring"
"1554","fucking sick"
"1555","hurt hi"
"1556","broken wrist"
"1557","worst week"
"1558","stinks This"
"1559","sad cause"
"1560","hate ho"
"1561","broken finger"
"1562","sick incredibly"
"1563","creepy guy"
"1564","crap utter"
"1565","dying keeps"
"1566","dying inside"
"1567","junk eating"
"1568","hurts SO"
"1569","hurts truth"
"1570","damn headache"
"1571","worn ve"
"1572","broke zipper"
"1573","fell alseep"
"1574","ache feet"
"1575","negative energy"
"1576","stupid fucking"
"1577","delayed flight"
"1578","hurts feet"
"1579","bad "
"1580","miss vegas"
"1581","breakdown e"
"1582","broke nail"
"1583","lost Cards"
"1584","miss hanging"
"1585","missed RIP"
"1586","sucks service"
"1587","shit ton"
"1588","bump huge"
"1589","poorly tu"
"1590","leak oil"
"1591","wtf wtf"
"1592","sickness Motion"
"1593","crashes everyti"
"1594","miss i"
"1595","dissapointed Very"
"1596","hurt feets"
"1597","hate cleaning"
"1598","sad lil"
"1599","suck boys"
"1600","monster headache"
"1601","disappointed lil"
"1602","tired Getting"
"1603","falls apart"
"1604","pig flu"
"1605","attacks Panic"
"1606","error code"
"1607","smells roo"
"1608","problem serious"
"1609","terrible cold"
"1610","lost ALL"
"1611","headache "
"1612","cold terrible"
"1613","missed Totally"
"1614","hurt gu"
"1615","darker shades"
"1616","miss church"
"1617","slowly losing"
"1618","losing slowly"
"1619","problem biggest"
"1620","drag queen"
"1621","wtf happened"
"1622","gross gross"
"1623","sad rather"
"1624","stolen "
"1625","frost warning"
"1626","issues trust"
"1627","alarm burglar"
"1628","exhausted co"
"1629","pain shooting"
"1630","warning frost"
"1631","stupid english"
"1632","exhausted sooo"
"1633","gross gross"
"1634","tragic accident"
"1635","smoke alar"
"1636","poor babies"
"1637","nasty outside"
"1638","alarm s"
"1639","sucked totally"
"1640","nasty sunburn"
"1641","lost followers"
"1642","annoyed sooo"
"1643","freezing outside"
"1644","hated Brokeback"
"1645","poor doggie"
"1646","breaking keep"
"1647","crap absolute"
"1648","miss NY"
"1649","scratched cat"
"1650","sob Sob"
"1651","hurts tongue"
"1652","terrible "
"1653","terrible ti"
"1654","sick lil"
"1655","miss "
"1656","mistake biggest"
"1657","burn degree"
"1658","worried sick"
"1659","issues sto"
"1660","miss Lauren"
"1661","cruel "
"1662","mistress cruel"
"1663","broken ve"
"1664","frustrating "
"1665","syndrome withdrawal"
"1666","freak accident"
"1667","hazard perception"
"1668","burn razor"
"1669","hate shopping"
"1670","sour gu"
"1671","scar per"
"1672","crisis financial"
"1673","infringement copyright"
"1674","sick worried"
"1675","wtf wtf"
"1676","guilt trip"
"1677","poor fella"
"1678","bad allergies"
"1679","hating stop"
"1680","tired frickin"
"1681","sucky part"
"1682","broke string"
"1683","bored Soooo"
"1684","ache neck"
"1685","die d"
"1686","warped tour"
"1687","puppet Kobe"
"1688","stuffy noses"
"1689","scared Kinda"
"1690","fracture Hairline"
"1691","dirty sexy"
"1692","wrong horribly"
"1693","pole tote"
"1694","hurt calves"
"1695","sad bc"
"1696","throbbing pain"
"1697","bleed ears"
"1698","poor awe"
"1699","pain throbbing"
"1700","hate night"
"1701","false advertising"
"1702","broken ankle"
"1703","died Eddings"
"1704","burnt Sun"
"1705","dead went"
"1706","sink bathroo"
"1707","bored sitting"
"1708","slow sooooooo"
"1709","depressing rather"
"1710","sad kinda"
"1711","tired beyond"
"1712","scary sounds"
"1713","slower runs"
"1714","wrong seriously"
"1715","burnt shoulders"
"1716","bad start"
"1717","confused totally"
"1718","crashes iPhone"
"1719","critical "
"1720","broke glasses"
"1721","tired Soooooo"
"1722",":@ "
"1723","abrupt end"
"1724","bad decision"
"1725","miss i"
"1726","biting keeps"
"1727","difficulties techinical"
"1728","suck They"
"1729","dying slowly"
"1730","hurts elbow"
"1731","sore foot"
"1732","fraud card"
"1733","worse gettin"
"1734","awful feels"
"1735","hard part"
"1736","damn girl"
"1737","slowly dying"
"1738","fuck wit"
"1739","misses Really"
"1740","suck "
"1741","sore leg"
"1742","hate everything"
"1743","lonely nights"
"1744","intolerance lactose"
"1745","wrong terribly"
"1746","terribly wrong"
"1747","downturn econo"
"1748","noises hearing"
"1749","bad sign"
"1750","disappointed sooo"
"1751","stupid boys"
"1752","sad v"
"1753","broke headphones"
"1754","fail english"
"1755","hates sto"
"1756","sucks shit"
"1757","tanks fish"
"1758","bad part"
"1759","terribly sick"
"1760","cold Too"
"1761","wrong country"
"1762","killed cat"
"1763","sick terribly"
"1764","stupid school"
"1765","blister fever"
"1766","fever blister"
"1767","sad state"
"1768","headache Biggest"
"1769","fever wa"
"1770","issues server"
"1771","cry d"
"1772","cold Freezing"
"1773","cold sweats"
"1774","struggling Really"
"1775","miss REALLY"
"1776","hurt kinda"
"1777","mistakes silly"
"1778","silly "
"1779","sad Its"
"1780","sick puppy"
"1781","died "
"1782","fuck Holy"
"1783","hate writing"
"1784","infection Throat"
"1785","boring soooooo"
"1786","worse things"
"1787","funny feels"
"1788","broken wing"
"1789","dying phones"
"1790","broke necklace"
"1791","shake Cant"
"1792","outbreak flu"
"1793","dead feared"
"1794","sucks inso"
"1795","emergency surgery"
"1796","broken hearts"
"1797","idle sitting"
"1798","frozen peas"
"1799","delayed Flights"
"1800","sorry folks"
"1801","depression "
"1802","hurts tu"
"1803","delayed til"
"1804","bad "
"1805","hate taking"
"1806","balls golf"
"1807","fat look"
"1808","funny aint"
"1809","miserably Failed"
"1810","forsaken god"
"1811","swollen eyes"
"1812","slowly co"
"1813","poor andy"
"1814","worst days"
"1815","worrying stop"
"1816","wrong slept"
"1817","stupid flu"
"1818","upset Still"
"1819","died "
"1820","headache MAJOR"
"1821","bad Very"
"1822","stuck gets"
"1823","hate wen"
"1824","error page"
"1825","rude How"
"1826","headache ass"
"1827","cum bck"
"1828","sorry sooooo"
"1829","noises outside"
"1830","cancer brain"
"1831","syndrome leg"
"1832","broken phones"
"1833","hurts hip"
"1834","dragged Being"
"1835","broke al"
"1836","depressed quite"
"1837","poor Awww"
"1838","sick sea"
"1839","limit 140"
"1840","cold soooooo"
"1841","hate sunday"
"1842","deaf ears"
"1843","cry Watching"
"1844","desperately Trying"
"1845","attack gallbladder"
"1846","crush biggest"
"1847","wedge pitching"
"1848","pain real"
"1849","denied access"
"1850","wrong button"
"1851","hurt It"
"1852","disappointed Bit"
"1853","damn hard"
"1854","died officially"
"1855","hurts piercing"
"1856","stupid science"
"1857","fell nearly"
"1858","damn expensive"
"1859","broke co"
"1860","crashes app"
"1861","killing "
"1862","bad sto"
"1863","strange acting"
"1864","bored Sooo"
"1865","jealous i"
"1866","lose everything"
"1867","miss U"
"1868","severe thunderstor"
"1869","poor That"
"1870","pale skin"
"1871","cry wana"
"1872","messing keep"
"1873","hate "
"1874","lose Dodgers"
"1875","bs ga"
"1876","freezing Its"
"1877","mistake silly"
"1878","silly "
"1879","hate revising"
"1880","rejection letter"
"1881","unrealistic expectations"
"1882","slow co"
"1883","miss y"
"1884","hates She"
"1885","drained physically"
"1886","wrong whts"
"1887","hurts ass"
"1888","evil evil"
"1889","hurt soooo"
"1890","wasted ve"
"1891","evil evil"
"1892","wrong decision"
"1893","bad fan"
"1894","aches Body"
"1895","messing keeps"
"1896","sucky weather"
"1897","miss tweeting"
"1898","broke heart"
"1899","sob sob"
"1900","harsh reality"
"1901","sad A"
"1902","limits character"
"1903","fall until"
"1904","hurts Back"
"1905","toll Death"
"1906","tricked us"
"1907","guilt trips"
"1908","killer sore"
"1909","lost lives"
"1910","insanely jealous"
"1911","poor sod"
"1912","miss totally"
"1913","jealous insanely"
"1914","hells kitchen"
"1915","bad stor"
"1916","evil eye"
"1917","grim pretty"
"1918","wrong so"
"1919","loose wo"
"1920","noise white"
"1921","sore killer"
"1922","lost Lions"
"1923","regret eating"
"1924","hates tu"
"1925","broken officially"
"1926","sucky sucky"
"1927","symptoms flu"
"1928","dead Phones"
"1929","trivial pursuit"
"1930","lost nuggets"
"1931","ridiculously slow"
"1932","depressing thats"
"1933","misses Already"
"1934","failure electrical"
"1935","issues perfor"
"1936","slow ridiculously"
"1937","boring rather"
"1938","disturbing "
"1939","stupid ho"
"1940","weird Feels"
"1941","crummy weather"
"1942","fall Cant"
"1943","sucky sucky"
"1944","failure power"
"1945","fell tree"
"1946","problems sleeping"
"1947","died "
"1948","fell asleep"
"1949","disappointed Slightly"
"1950","lost officially"
"1951","damn lazy"
"1952","douche nozzle"
"1953","trouble viewing"
"1954","imaginary friend"
"1955","lost half"
"1956","bothered b"
"1957","sucks connection"
"1958","falling literally"
"1959","damn hungry"
"1960","die dont"
"1961","ugly shoes"
"1962","hate "
"1963","exaggeration slight"
"1964","infection Chest"
"1965","chronic pain"
"1966","broke flat"
"1967","sour "
"1968","hurt eyeballs"
"1969","pain chronic"
"1970","confess "
"1971","terrible absolutely"
"1972","missed yall"
"1973","depression gig"
"1974","scorching hot"
"1975","damaged brain"
"1976","sad Thats"
"1977","dies Fawcett"
"1978","terrible looks"
"1979","lost $"
"1980","miss LC"
"1981","intense pretty"
"1982","trapped inside"
"1983","mad soooo"
"1984","bad quality"
"1985","monster eyed"
"1986","crashed plane"
"1987","depressed super"
"1988","broke Mine"
"1989","scary Very"
"1990","emergency fa"
"1991","hate spending"
"1992","dead presu"
"1993","disappointed Utterly"
"1994","stealing o"
"1995","panic "
"1996","fail probably"
"1997","achey breaky"
"1998","weird Its"
"1999","damn rain"
"2000","swollen face"
"2001","shit loads"
"2002","annoyed Very"
"2003","hurt knuckles"
"2004","limited release"
"2005","shit hole"
"2006","bad kar"
"2007","dripping literally"
"2008","hole shit"
"2009","break heart"
"2010","damn allergies"
"2011","sad "
"2012","bothered doing"
"2013","bad 2"
"2014","shocked quite"
"2015","weep weep"
"2016","fall asleeep"
"2017","miss Gunna"
"2018","wack wiggity"
"2019","crap pretty"
"2020","horrible cough"
"2021","allergy shots"
"2022","hurts That"
"2023","poor fishy"
"2024","protests Iran"
"2025","scary thunder"
"2026","hurts Brain"
"2027","unprepared totally"
"2028","crashes co"
"2029","break Lunch"
"2030","upsetting quite"
"2031","died drive"
"2032","expensive "
"2033","smell hands"
"2034","sick real"
"2035","regret cutting"
"2036","slow death"
"2037","sick laying"
"2038","hate losing"
"2039","terrible look"
"2040","boring old"
"2041","painful experience"
"2042","twisted toffee"
"2043","weep weep"
"2044","cancer prostate"
"2045","death slow"
"2046","hurt sinuses"
"2047","fears biggest"
"2048","fears worst"
"2049","worst fears"
"2050","wrong nu"
"2051","ruins That"
"2052","stains blood"
"2053","sorry hunny"
"2054","severe lack"
"2055","hates "
"2056","dead serious"
"2057","problems "
"2058","bad realy"
"2059","lack severe"
"2060","horrible Its"
"2061","sick "
"2062","hard labor"
"2063","poor old"
"2064","unhappy Very"
"2065","missed dearly"
"2066","stinks It"
"2067","tantrum te"
"2068","temper tantru"
"2069","hurt soo"
"2070","fucking killing"
"2071","upset highly"
"2072","lost Canucks"
"2073","dangerous "
"2074","poor jon"
"2075","hates He"
"2076","noise weird"
"2077","weird noise"
"2078","hurt kidneys"
"2079","limit speed"
"2080","pains hunger"
"2081","smash hits"
"2082","slave ship"
"2083","break s"
"2084","sore sooooo"
"2085","smells hair"
"2086","blister huge"
"2087","gloomy Another"
"2088","worst "
"2089","lost boyle"
"2090","bad Felt"
"2091","sad Pretty"
"2092","broke "
"2093","bored nothing"
"2094","upset Kinda"
"2095","depressing pretty"
"2096","broken ar"
"2097","miss e"
"2098","suck colds"
"2099","kill wanna"
"2100","crashed twice"
"2101","funky "
"2102","forbid God"
"2103","dreary weather"
"2104","problems network"
"2105","failure liver"
"2106","dead nearly"
"2107","cruelty Ani"
"2108","sad sorta"
"2109","smoke alar"
"2110","miss thee"
"2111","miss everybody"
"2112","wrong Wats"
"2113","kill hi"
"2114","sore tooth"
"2115","waste total"
"2116","noise clicking"
"2117","dies pilot"
"2118","lag Jet"
"2119","kill yourself"
"2120","wrong w"
"2121","sore "
"2122","exhaustion sheer"
"2123","itching stop"
"2124","failed Mission"
"2125","shady grove"
"2126","horrible tastes"
"2127","killing us"
"2128","torture cha"
"2129","dies basij"
"2130","threat genuine"
"2131","freaking aweso"
"2132","scared i"
"2133","disappointed super"
"2134","lost Magic"
"2135","hates Everyone"
"2136","shocked totally"
"2137","hurt braces"
"2138","died grand"
"2139","ridiculously tired"
"2140","expensive hella"
"2141","missed rove"
"2142","hate hearing"
"2143","poor daddy"
"2144","bleeds nose"
"2145","horrible "
"2146","bloody weather"
"2147","tired ridiculously"
"2148","unbelievably tired"
"2149","fall wanna"
"2150","tired Soooooooo"
"2151","strike gently"
"2152","gross outside"
"2153","smoke detector"
"2154","sucked Today"
"2155","sadly but"
"2156","failure hardware"
"2157","problems accessing"
"2158","hate jetlag"
"2159","died father"
"2160","guilty pleaded"
"2161","torture pure"
"2162","painful Sounds"
"2163","tired unbelievably"
"2164","headache splittin"
"2165","hate earthquakes"
"2166","emergency clinic"
"2167","lacking "
"2168","kill road"
"2169","burning Theatre"
"2170","tired and"
"2171","annoying soo"
"2172","freaking bored"
"2173","cry probably"
"2174","upset super"
"2175","pain physical"
"2176","poorly designed"
"2177","hate "
"2178","ugh i"
"2179","swollen knee"
"2180","sore ar"
"2181","fake accounts"
"2182","poor dear"
"2183","sucks Cancer"
"2184","freak hour"
"2185","sad real"
"2186","cold wet"
"2187","sucks tht"
"2188","disappointment "
"2189","bored freaking"
"2190","lost touch"
"2191","stupid reason"
"2192","lost lakers"
"2193","break Tough"
"2194","poor lad"
"2195","trash bin"
"2196","idiot total"
"2197","whine whine"
"2198","ruined co"
"2199","hard Very"
"2200","fussy baby"
"2201","suck shifts"
"2202","explode head"
"2203","whine whine"
"2204","break "
"2205","headache Woke"
"2206","damn car"
"2207","uncomfortable "
"2208","fail gona"
"2209","sore gu"
"2210","fallen apart"
"2211","sickness bug"
"2212","miss "
"2213","bug sickness"
"2214","attacks personal"
"2215","messy roo"
"2216","hurt ankles"
"2217","miss Alex"
"2218","scared sooo"
"2219","awfully quiet"
"2220","suck seriously"
"2221","tired "
"2222","stupid "
"2223","ridiculous a"
"2224","worried abt"
"2225","tension headache"
"2226","hell da"
"2227","morbidly obese"
"2228","obese "
"2229","worse whats"
"2230","bloody annoying"
"2231","dead zone"
"2232","stealing keeps"
"2233","oddly shaped"
"2234","alarm Fire"
"2235","miss Already"
"2236","miss youuuuuuu"
"2237","ugh "
"2238","problems breathing"
"2239","headache tension"
"2240","shaky hands"
"2241","annoying bloody"
"2242","noises scary"
"2243","scary noises"
"2244","joke funny"
"2245","suck balls"
"2246","trouble keeping"
"2247","sour plu"
"2248","damn early"
"2249","failed co"
"2250","cruelty ani"
"2251","hurt feelings"
"2252","hole watering"
"2253","worst weekend"
"2254","balls suck"
"2255","insanely busy"
"2256","damned god"
"2257","severe thunderstor"
"2258","poor His"
"2259","poor Susan"
"2260","damn cough"
"2261","suck Exa"
"2262","lose their"
"2263","bad SOOO"
"2264","stuck outside"
"2265","sucked III"
"2266","bad ti"
"2267","lost forever"
"2268","poor Awwwww"
"2269","smoke break"
"2270","break s"
"2271","smoke wanna"
"2272","atrophy retinal"
"2273","tout "
"2274","idiot So"
"2275","hurts teeth"
"2276","headache "
"2277","fake nails"
"2278","kill screen"
"2279","smash bros"
"2280","cramp sto"
"2281","sucks internet"
"2282","terrible weather"
"2283","lost Sharks"
"2284","retards retartded"
"2285","sucks awwthat"
"2286","dumb asses"
"2287","sad RIP"
"2288","allergic I"
"2289","hurt lips"
"2290","died nearly"
"2291","object foreign"
"2292","crashing constantly"
"2293","dark Too"
"2294","mess blubbering"
"2295","virus flu"
"2296","funky acting"
"2297","crazy went"
"2298","slowly "
"2299","mad soo"
"2300","intrusive thoughts"
"2301","burned Theatre"
"2302","fucking stupid"
"2303","awful Effing"
"2304","evil Evil"
"2305","stupid sto"
"2306","difficulties tech"
"2307","miserably Failing"
"2308","sucks School"
"2309","boring SO"
"2310","tired Extre"
"2311","hurt bones"
"2312","unfortunate How"
"2313","failed "
"2314","issue "
"2315","bleeding profusely"
"2316","injury hip"
"2317","poor nick"
"2318","throat sore"
"2319","gonna miss"
"2320","asleep fall"
"2321","asleep fell"
"2322","that sucks"
"2323","tu hurts"
"2324","head hurts"
"2325","throat hurts"
"2326","tu ache"
"2327","news bad"
"2328","whats wrong"
"2329","baby poor"
"2330","inside stuck"
"2331","ti bad"
"2332","sto ache"
"2333","sto hurts"
"2334","feet hurt"
"2335","face sad"
"2336","ear infection"
"2337","asleep falling"
"2338"," bad"
"2339","keeps crashing"
"2340","it sucks"
"2341","wanna cry"
"2342","little poor"
"2343","very sad"
"2344","sooo tired"
"2345","kinda sad"
"2346","This sucks"
"2347","ve lost"
"2348","gonna cry"
"2349","drive hard"
"2350","asleep fall"
"2351","having hate"
"2352","blah blah"
"2353","apart falling"
"2354","blah blah"
"2355","everyone miss"
"2356","epic fail"
"2357","head ache"
"2358","part worst"
"2359","girl gossip"
"2360","how sad"
"2361","panda sad"
"2362","it hurts"
"2363","too bad"
"2364","headache bad"
"2365","gonna miss"
"2366","ti sad"
"2367","body aches"
"2368","reaction allergic"
"2369","hay fever"
"2370","headache worst"
"2371"," headache"
"2372","worst headache"
"2373","sinus infection"
"2374","waking hate"
"2375","soo tired"
"2376","teeth hurt"
"2377","sooo bad"
"2378","nose stuffy"
"2379","pretty bad"
"2380","drea bad"
"2381","news sad"
"2382","I sorry"
"2383","sooo sad"
"2384","real bad"
"2385","eyes hurt"
"2386","gonna die"
"2387","sun burn"
"2388","soo sad"
"2389","soooo tired"
"2390","bites bug"
"2391","ya miss"
"2392","guy poor"
"2393","legs hurt"
"2394","gonna suck"
"2395"," headache"
"2396","spring break"
"2397","traffic jam"
"2398","Holy crap"
"2399","super tired"
"2400","indoors stuck"
"2401","neck hurts"
"2402","Holy shit"
"2403","those miss"
"2404","body hurts"
"2405","heart attack"
"2406","roo emergency"
"2407","attack panic"
"2408","panic attack"
"2409","clock alarm"
"2410","headache killer"
"2411","killer headache"
"2412","fuck fuck"
"2413","tooth ache"
"2414","guinea pig"
"2415","fuck fuck"
"2416","idea bad"
"2417","super sad"
"2418","killers pain"
"2419","soo bored"
"2420","ar hurts"
"2421","weight lose"
"2422","soo bad"
"2423","gunna miss"
"2424","gonna fail"
"2425","headache terrible"
"2426","weather bad"
"2427","terrible headache"
"2428","huge headache"
"2429","neck stiff"
"2430","heart broken"
"2431","does suck"
"2432","god damn"
"2433","heart broken"
"2434","followers losing"
"2435","luck bad"
"2436","sooo bored"
"2437","plane crash"
"2438","Epic fail"
"2439","ivy poison"
"2440","soooo bad"
"2441","bite bug"
"2442","Having trouble"
"2443","To bad"
"2444","puppy poor"
"2445","sun burnt"
"2446","tour warped"
"2447","lunch break"
"2448","weather sucks"
"2449","care urgent"
"2450","Another loser"
"2451","foot hurts"
"2452","girl poor"
"2453","Still sick"
"2454","i miss"
"2455","ass sucks"
"2456","i miss"
"2457","heart hurts"
"2458","soooo sad"
"2459","holy crap"
"2460","Sooo tired"
"2461","outside cold"
"2462","Whats wrong"
"2463","break prison"
"2464","prison break"
"2465","nose bleed"
"2466","hun sorry"
"2467","keeps freezing"
"2468","co suicide"
"2469","food junk"
"2470","sleeping trouble"
"2471","sooooo tired"
"2472"," hate"
"2473","Feeling sick"
"2474"," hurts"
"2475","belly ache"
"2476","super bored"
"2477","drea bad"
"2478","story sad"
"2479","sob sob"
"2480","soooo bored"
"2481","sob sob"
"2482","guys sorry"
"2483"," cry"
"2484","technical difficulties"
"2485","eye infection"
"2486","weather crappy"
"2487","Being sick"
"2488","stop hurting"
"2489","aww poor"
"2490","Mondays hate"
"2491","withdrawal symptoms"
"2492","headache splitting"
"2493","sto pains"
"2494","splitting headache"
"2495","bored bored"
"2496","through fell"
"2497","Will miss"
"2498","Kinda sad"
"2499","knee hurts"
"2500","Head hurts"
"2501","Harry hate"
"2502"," failing"
"2503","totally sucks"
"2504","failing miserably"
"2505","having miss"
"2506","Tu ache"
"2507","leg hurts"
"2508","seeing hate"
"2509","seeing miss"
"2510","which sucks"
"2511","waiting hate"
"2512","thats sad"
"2513","asleep fell"
"2514","Cavs lost"
"2515","We lost"
"2516","kinda sick"
"2517","totally missed"
"2518","super sick"
"2519","kinda sucks"
"2520","ear ache"
"2521","head sore"
"2522","I sad"
"2523","i miss"
"2524","headache horrible"
"2525","horrible headache"
"2526","gets worse"
"2527"," redundant"
"2528","fish died"
"2529","jet lag"
"2530","so sad"
"2531","big sucks"
"2532","ears hurt"
"2533","hearted broken"
"2534","holy shit"
"2535","dog died"
"2536","youu miss"
"2537"," boring"
"2538","Fawcett died"
"2539","kids poor"
"2540","McMahon died"
"2541","eye hurts"
"2542","vet emergency"
"2543","So stole"
"2544","throat infection"
"2545","keep losing"
"2546","tooth hurts"
"2547","battery died"
"2548","belly hurts"
"2549","su dim"
"2550","ill miss"
"2551","felt bad"
"2552"," scary"
"2553","pretty sad"
"2554","kidney infection"
"2555","chest hurts"
"2556","ive lost"
"2557","Code sucked"
"2558","sooooo bad"
"2559","hate fucking"
"2560"," depressing"
"2561","Oh crap"
"2562","quite sad"
"2563","sto upset"
"2564","tea lost"
"2565","ear hurts"
"2566","head cold"
"2567","chest pains"
"2568","Soooo tired"
"2569","June gloom"
"2570","cold bad"
"2571","te unavailable"
"2572","keep lonely"
"2573"," sad"
"2574","i hate"
"2575","Life sucks"
"2576","Flight delayed"
"2577","went wrong"
"2578","living hate"
"2579","asth attack"
"2580","tired dead"
"2581","own fault"
"2582","dead tired"
"2583","co suicide"
"2584","That stinks"
"2585","balls sucks"
"2586","drea horrible"
"2587","God damn"
"2588","talking miss"
"2589","throats sore"
"2590","youuu miss"
"2591","panic attacks"
"2592","attacks panic"
"2593","sinus headache"
"2594","kitty poor"
"2595","school hate"
"2596","feeling hate"
"2597","awww poor"
"2598","eyes itchy"
"2599","We miss"
"2600","Those poor"
"2601","Very doubtful"
"2602","cavs lost"
"2603","bout sorry"
"2604","outside gloomy"
"2605","fingers hurt"
"2606","who died"
"2607","shoulder hurts"
"2608","cough bad"
"2609","high fever"
"2610","glandular fever"
"2611","Oh shit"
"2612","head hurt"
"2613","babe sorry"
"2614","Too tired"
"2615"," scary"
"2616"," failed"
"2617","failed miserably"
"2618","ti bad"
"2619","Really sad"
"2620","I sick"
"2621","exa hate"
"2622","lil poor"
"2623","brain hurts"
"2624","fire alarm"
"2625","apart fell"
"2626","France crash"
"2627","those hate"
"2628","sooooo sad"
"2629","war death"
"2630","ear infections"
"2631","sooo boring"
"2632","shit shit"
"2633","night worst"
"2634","worst nightmare"
"2635"," error"
"2636","shit shit"
"2637","biggest headache"
"2638","sleeping hate"
"2639","hell bloody"
"2640","bloody hell"
"2641","doing hate"
"2642","hand hurts"
"2643","co puppet"
"2644","na wrong"
"2645","tired fucking"
"2646","gonna kill"
"2647","sunburn hurts"
"2648","attack allergy"
"2649","lung cancer"
"2650","allergy attack"
"2651","habit bad"
"2652","sto virus"
"2653","tu hurt"
"2654","officially dead"
"2655","heart breaking"
"2656","bein hate"
"2657","pretty crappy"
"2658","banging headache"
"2659","sto bug"
"2660","sundays hate"
"2661"," begging"
"2662","Soo tired"
"2663","wrist hurts"
"2664","separation anxiety"
"2665","Very disappointed"
"2666","tu aches"
"2667","kinda miss"
"2668","sooo jealous"
"2669","feels bad"
"2670","enough bad"
"2671","I bored"
"2672","sun burned"
"2673","feels sick"
"2674","finger hurts"
"2675","Boyle lost"
"2676","kid poor"
"2677"," die"
"2678","gettin sick"
"2679","chest infection"
"2680","ankle hurts"
"2681","outta bored"
"2682","ass fat"
"2683","wats wrong"
"2684","so sucks"
"2685","dog poor"
"2686","Very tired"
"2687","these hate"
"2688","apart fall"
"2689","SO sad"
"2690","their lost"
"2691","feels weird"
"2692","feeling worst"
"2693","rain stupid"
"2694","water boiling"
"2695","You poor"
"2696","al dead"
"2697","cold freezing"
"2698","sooo hurts"
"2699","freezing cold"
"2700","this sucks"
"2701","ho hum"
"2702","Ho hum"
"2703","asleep fall"
"2704","Only problem"
"2705","ar hurt"
"2706"," foul"
"2707","tu upset"
"2708","co crashed"
"2709","flight delayed"
"2710","baby sick"
"2711","pretty boring"
"2712","part sad"
"2713","I tired"
"2714","I miss"
"2715","asleep falling"
"2716","drea worst"
"2717","sto hurt"
"2718","soooooo tired"
"2719","heat rash"
"2720","attack anxiety"
"2721","anxiety attack"
"2722","feelin sick"
"2723"," sickness"
"2724","Work sucks"
"2725","side wrong"
"2726","pounding headache"
"2727","weather cold"
"2728","i miss"
"2729","We missed"
"2730","Tu hurts"
"2731","too bad"
"2732","acting weird"
"2733","thunder hate"
"2734","packing hate"
"2735","1111 missed"
"2736","I stuck"
"2737","SO bad"
"2738","kinda lonely"
"2739","whale fail"
"2740","youuuu miss"
"2741","ending sad"
"2742","song stuck"
"2743","sooo sick"
"2744","car poor"
"2745","Massive headache"
"2746","extre sad"
"2747"," pain"
"2748","Nadal lost"
"2749","extre tired"
"2750","world cruel"
"2751","nothing worse"
"2752","heart aches"
"2753","soo boring"
"2754","heart burn"
"2755","collecting dust"
"2756","sooo cold"
"2757","Sto ache"
"2758","external hard"
"2759","jet lagged"
"2760","hydrogen leak"
"2761","butt hurts"
"2762"," sorely"
"2763","tornado warning"
"2764","sorely missed"
